GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
3400518790,060,34,005,37980,428,99999,999,Eastampton township,6069,2380,6202,2312,6069,6202,4437,4853,1030,730,21,14,272,336,4,0,100,89,205,180
3400520050,060,34,005,37980,428,99999,999,Edgewater Park township,8881,3926,7864,3301,8881,7864,5125,5353,2426,1683,30,13,283,256,2,1,577,252,438,306
3400522110,060,34,005,37980,428,99999,999,Evesham township,45538,18303,42275,16324,45538,42275,39609,38579,1910,1313,54,31,2804,1721,9,8,357,203,795,420
3400523250,060,34,005,37980,428,99999,999,Fieldsboro borough,540,221,522,204,540,522,438,426,68,83,0,1,11,0,0,0,2,2,21,10
3400523850,060,34,005,37980,428,99999,999,Florence township,12109,5053,10746,4391,12109,10746,9497,9190,1481,1047,23,19,610,253,7,1,121,70,370,166
3400529010,060,34,005,37980,428,99999,999,Hainesport township,6110,2305,4126,1555,6110,4126,5180,3882,458,110,6,4,249,70,0,0,87,21,130,39
3400542060,060,34,005,37980,428,99999,999,Lumberton township,12559,4719,10461,4080,12559,10461,8916,8192,2378,1438,30,24,591,354,5,2,195,199,444,252
3400543290,060,34,005,37980,428,99999,999,Mansfield township,8544,3529,5090,2122,8544,5090,6753,4857,890,97,14,9,657,76,5,2,53,11,172,38
3400543740,060,34,005,37980,428,99999,999,Maple Shade township,19131,9186,19079,9009,19131,19079,15040,15868,1826,1376,31,30,1080,1164,5,8,601,323,548,310
3400545120,060,34,005,37980,428,99999,999,Medford township,23033,8652,22253,8147,23033,22253,21726,21527,353,170,36,26,467,327,6,9,130,63,315,131
3400545210,060,34,005,37980,428,99999,999,Medford Lakes borough,4146,1543,4173,1555,4146,4173,4035,4103,19,18,7,5,40,20,0,0,16,4,29,23
3400547880,060,34,005,37980,428,99999,999,Moorestown township,20726,7862,19017,7211,20726,19017,17513,16962,1331,1082,18,30,1244,621,5,1,168,81,447,240
3400548900,060,34,005,37980,428,99999,999,Mount Holly township,9536,3861,10728,4248,9536,10728,6253,7368,2203,2314,35,45,140,147,7,7,409,512,489,335
3400549020,060,34,005,37980,428,99999,999,Mount Laurel township,41864,18249,40221,17163,41864,40221,33249,35034,4061,2785,67,38,3040,1529,17,12,418,256,1012,567
3400551510,060,34,005,37980,428,99999,999,New Hanover township,7385,613,9744,1381,7385,9744,3992,6249,2479,2816,48,41,151,143,6,8,461,259,248,228
3400553070,060,34,005,37980,428,99999,999,North Hanover township,7678,3370,7347,2670,7678,7347,6156,5924,716,805,31,35,145,156,32,4,238,160,360,263
3400555800,060,34,005,37980,428,99999,999,Palmyra borough,7398,3392,7091,3219,7398,7091,5826,5743,1076,1017,23,21,136,99,6,3,144,100,187,108
3400557480,060,34,005,37980,428,99999,999,Pemberton borough,1409,642,1210,513,1409,1210,1048,949,215,154,3,8,46,29,0,0,44,33,53,37
3400557510,060,34,005,37980,428,99999,999,Pemberton township,27912,10749,28691,10778,27912,28691,18848,18946,5719,6632,104,132,806,913,37,23,837,828,1561,1217
3400563510,060,34,005,37980,428,99999,999,Riverside township,8079,3147,7911,3118,8079,7911,6480,7137,516,351,21,11,77,33,4,1,569,180,412,198
3400563660,060,34,005,37980,428,99999,999,Riverton borough,2779,1112,2759,1113,2779,2759,2596,2644,92,49,3,3,21,23,2,0,13,8,52,32
3400566810,060,34,005,37980,428,99999,999,Shamong township,6490,2227,6462,2175,6490,6462,6286,6284,60,53,13,7,38,43,1,0,17,20,75,55
3400568610,060,34,005,37980,428,99999,999,Southampton township,10464,5024,10388,4751,10464,10388,9888,10086,231,125,12,29,139,65,1,0,51,31,142,52
3400569990,060,34,005,37980,428,99999,999,Springfield township,3414,1217,3227,1138,3414,3227,3093,2967,130,104,7,10,87,85,0,0,41,7,56,54
3400572060,060,34,005,37980,428,99999,999,Tabernacle township,6949,2445,7170,2385,6949,7170,6657,6904,96,150,5,7,48,52,4,0,65,22,74,35
3400577150,060,34,005,37980,428,99999,999,Washington township,687,284,621,171,687,621,645,519,13,18,0,0,1,2,0,0,25,75,3,7
