GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
3401174870,060,34,011,47220,428,99999,999,Upper Deerfield township,7660,3025,7556,2881,7660,7556
3401176070,060,34,011,47220,428,99999,999,Vineland city,60724,22661,56271,20958,60724,56271
3401304695,060,34,013,35620,408,99999,999,Belleville township,35926,14327,35928,14144,35926,35928
3401306260,060,34,013,35620,408,99999,999,Bloomfield township,47315,19470,47683,19508,47315,47683
3401311200,060,34,013,35620,408,99999,999,Cedar Grove township,12411,4661,12300,4470,12411,12300
3401313045,060,34,013,35620,408,99999,999,City of Orange township,30134,12222,32868,12665,30134,32868
3401319390,060,34,013,35620,408,99999,999,East Orange city,64270,28803,69824,28485,64270,69824
3401321840,060,34,013,35620,408,99999,999,Essex Fells borough,2113,758,2162,761,2113,2162
3401322385,060,34,013,35620,408,99999,999,Fairfield township,7466,2723,7063,2326,7466,7063
3401326610,060,34,013,35620,408,99999,999,Glen Ridge borough,7527,2541,7271,2490,7527,7271
3401334450,060,34,013,35620,408,99999,999,Irvington township,53926,23196,60695,24116,53926,60695
3401340890,060,34,013,35620,408,99999,999,Livingston township,29366,10284,27391,9457,29366,27391
3401343800,060,34,013,35620,408,99999,999,Maplewood township,23867,8608,23868,8615,23867,23868
3401346380,060,34,013,35620,408,99999,999,Millburn township,20149,7106,19765,7158,20149,19765
3401347500,060,34,013,35620,408,99999,999,Montclair township,37669,15911,38977,15531,37669,38977
3401351000,060,34,013,35620,408,99999,999,Newark city,277140,109520,273546,100141,277140,273546
3401352620,060,34,013,35620,408,99999,999,North Caldwell borough,6183,2134,7375,2108,6183,7375
3401353680,060,34,013,35620,408,99999,999,Nutley township,28370,11789,27362,11118,28370,27362
3401364590,060,34,013,35620,408,99999,999,Roseland borough,5819,2432,5298,2187,5819,5298
3401369274,060,34,013,35620,408,99999,999,South Orange Village township,16198,5815,16964,5671,16198,16964
3401375815,060,34,013,35620,408,99999,999,Verona township,13332,5523,13533,5719,13332,13533
3401378510,060,34,013,35620,408,99999,999,West Caldwell township,10759,4009,11233,4044,10759,11233
3401379800,060,34,013,35620,408,99999,999,West Orange township,46207,17612,44943,16901,46207,44943
3401513360,060,34,015,37980,428,99999,999,Clayton borough,8179,3128,7139,2680,8179,7139
3401517710,060,34,015,37980,428,99999,999,Deptford township,30561,12361,26763,10647,30561,26763
3401519180,060,34,015,37980,428,99999,999,East Greenwich township,9555,3405,5430,1971,9555,5430
3401521060,060,34,015,37980,428,99999,999,Elk township,4216,1576,3514,1347,4216,3514
3401524840,060,34,015,37980,428,99999,999,Franklin township,16820,6104,15466,5461,16820,15466
3401526340,060,34,015,37980,428,99999,999,Glassboro borough,18579,6590,19068,6555,18579,19068
3401528185,060,34,015,37980,428,99999,999,Greenwich township,4899,2048,4879,1944,4899,4879
3401530180,060,34,015,37980,428,99999,999,Harrison township,12417,4089,8788,2939,12417,8788
3401541160,060,34,015,37980,428,99999,999,Logan township,6042,2172,6032,2077,6042,6032
3401543440,060,34,015,37980,428,99999,999,Mantua township,15217,5980,14217,5411,15217,14217
3401547250,060,34,015,37980,428,99999,999,Monroe township,36129,13387,28967,11069,36129,28967
3401549680,060,34,015,37980,428,99999,999,National Park borough,3036,1153,3205,1165,3036,3205
3401551390,060,34,015,37980,428,99999,999,Newfield borough,1553,626,1616,620,1553,1616
3401557150,060,34,015,37980,428,99999,999,Paulsboro borough,6097,2533,6160,2628,6097,6160
3401559070,060,34,015,37980,428,99999,999,Pitman borough,9011,3705,9331,3653,9011,9331
3401569030,060,34,015,37980,428,99999,999,South Harrison township,3162,1056,2417,829,3162,2417
3401571850,060,34,015,37980,428,99999,999,Swedesboro borough,2584,1004,2055,860,2584,2055
3401577180,060,34,015,37980,428,99999,999,Washington township,48559,17810,47114,16020,48559,47114
3401578110,060,34,015,37980,428,99999,999,Wenonah borough,2278,860,2317,860,2278,2317
3401578800,060,34,015,37980,428,99999,999,West Deptford township,21677,9441,19368,7999,21677,19368
3401580120,060,34,015,37980,428,99999,999,Westville borough,4288,1912,4500,1938,4288,4500
3401582120,060,34,015,37980,428,99999,999,Woodbury city,10174,4456,10307,4310,10174,10307
3401582180,060,34,015,37980,428,99999,999,Woodbury Heights borough,3055,1125,2988,1045,3055,2988
3401582840,060,34,015,37980,428,99999,999,Woolwich township,10200,3275,3032,1026,10200,3032
3401703580,060,34,017,35620,408,99999,999,Bayonne city,63024,27799,61842,26826,63024,61842
3401719360,060,34,017,35620,408,99999,999,East Newark borough,2406,794,2377,799,2406,2377
3401728650,060,34,017,35620,408,99999,999,Guttenberg town,11176,4839,10807,4650,11176,10807
3401730210,060,34,017,35620,408,99999,999,Harrison town,13620,5228,14424,5254,13620,14424
3401732250,060,34,017,35620,408,99999,999,Hoboken city,50005,26855,38577,19915,50005,38577
3401736000,060,34,017,35620,408,99999,999,Jersey City city,247597,108720,240055,93648,247597,240055
3401736510,060,34,017,35620,408,99999,999,Kearny town,40684,14180,40513,13872,40684,40513
3401752470,060,34,017,35620,408,99999,999,North Bergen township,60773,23912,58092,22009,60773,58092
3401766570,060,34,017,35620,408,99999,999,Secaucus town,16264,6846,15931,6385,16264,15931
3401774630,060,34,017,35620,408,99999,999,Union City city,66455,24931,67088,23741,66455,67088
3401777930,060,34,017,35620,408,99999,999,Weehawken township,12554,6213,13501,6159,12554,13501
3401779610,060,34,017,35620,408,99999,999,West New York town,49708,20018,45768,17360,49708,45768
3401900550,060,34,019,35620,408,99999,999,Alexandria township,4938,1865,4698,1598,4938,4698
3401905650,060,34,019,35620,408,99999,999,Bethlehem township,3979,1386,3820,1303,3979,3820
3401906370,060,34,019,35620,408,99999,999,Bloomsbury borough,870,358,886,342,870,886
3401909280,060,34,019,35620,408,99999,999,Califon borough,1076,419,1055,410,1076,1055
3401913720,060,34,019,35620,408,99999,999,Clinton town,2719,1098,2632,1095,2719,2632
3401913750,060,34,019,35620,408,99999,999,Clinton township,13478,4737,12957,4234,13478,12957
3401917170,060,34,019,35620,408,99999,999,Delaware township,4563,1927,4478,1701,4563,4478
3401918820,060,34,019,35620,408,99999,999,East Amwell township,4013,1580,4455,1624,4013,4455
3401923700,060,34,019,35620,408,99999,999,Flemington borough,4581,1926,4200,1876,4581,4200
3401924870,060,34,019,35620,408,99999,999,Franklin township,3195,1204,2990,1125,3195,2990
3401925350,060,34,019,35620,408,99999,999,Frenchtown borough,1373,656,1488,630,1373,1488
3401926550,060,34,019,35620,408,99999,999,Glen Gardner borough,1704,825,1902,829,1704,1902
3401929460,060,34,019,35620,408,99999,999,Hampton borough,1401,612,1546,574,1401,1546
3401931320,060,34,019,35620,408,99999,999,High Bridge borough,3648,1481,3776,1478,3648,3776
3401932460,060,34,019,35620,408,99999,999,Holland township,5291,2066,5124,1942,5291,5124
3401937065,060,34,019,35620,408,99999,999,Kingwood township,3845,1569,3782,1422,3845,3782
3401938610,060,34,019,35620,408,99999,999,Lambertville city,3906,2075,3868,1961,3906,3868
3401939630,060,34,019,35620,408,99999,999,Lebanon borough,1358,664,1065,477,1358,1065
3401939660,060,34,019,35620,408,99999,999,Lebanon township,6588,2439,5816,2020,6588,5816
3401946260,060,34,019,35620,408,99999,999,Milford borough,1233,552,1195,484,1233,1195
